Scenario - demo_task
Logfile written - synthetic

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration
3	32	Picture	probe	1229920	0	1	20000
3	32	Response	6	1241231	11311	1	
3	33	Picture	iti	1276517	0	1	30000
3	34	Picture	cue	1306615	0	1	5000
3	34	Picture	probe	1311779	0	1	20000
3	34	Response	7	1323514	11735	1	
3	35	Picture	iti	1347075	0	1	30000
3	36	Picture	cue	1377204	0	1	5000
3	36	Picture	probe	1382273	0	1	20000
3	36	Response	5	1391027	8754	1	
3	37	Picture	iti	1425561	0	1	30000
3	38	Picture	cue	1455694	0	1	5000
3	38	Picture	probe	1460771	0	1	20000
3	38	Response	3	1468468	7697	1	
3	39	Picture	iti	1502273	0	1	30000
3	40	Picture	cue	1532353	0	1	5000
3	40	Picture	probe	1537358	0	1	20000
3	40	Response	5	1545543	8185	1	
3	41	Picture	iti	1581021	0	1	30000
3	42	Pulse	99	1611021	1	1	
3	42	Picture	cue	1611111	0	1	5000
3	42	Picture	probe	1616266	0	1	20000
3	42	Response	6	1624754	8488	1	
3	43	Picture	iti	1645680	0	1	30000
3	44	Pulse	99	1675680	1	1	
3	44	Picture	cue	1675853	0	1	5000
3	44	Picture	probe	1680858	0	1	20000
3	44	Response	7	1689844	8986	1	
3	45	Picture	iti	1729752	0	1	30000
3	46	Pulse	99	1759752	1	1	
3	46	Picture	cue	1759845	0	1	5000
3	46	Picture	probe	1764892	0	1	20000
3	46	Response	5	1775879	10987	1	
3	47	Picture	iti	1815596	0	1	30000
3	48	Pulse	99	1845596	1	1	
3	48	Picture	cue	1845692	0	1	5000
3	48	Picture	probe	1850718	0	1	20000
3	48	Response	4	1862021	11303	1	
3	49	Picture	iti	1892379	0	1	30000
3	50	Pulse	99	1922379	1	1	
3	50	Picture	cue	1922546	0	1	5000
3	50	Picture	probe	1927614	0	1	20000
3	50	Response	4	1937007	9393	1	
3	51	Picture	iti	1971468	0	1	30000
3	52	Picture	cue	2001492	0	1	5000
3	52	Picture	probe	2006518	0	1	20000
3	52	Response	4	2018080	11562	1	
3	53	Picture	iti	2052646	0	1	30000
3	54	Picture	cue	2082689	0	1	5000
3	54	Picture	probe	2087709	0	1	20000
3	54	Response	4	2095861	8152	1	
3	55	Picture	iti	2134686	0	1	30000
3	56	Pulse	99	2164686	1	1	
3	56	Picture	cue	2164743	0	1	5000
3	56	Picture	probe	2169773	0	1	20000
3	57	Picture	iti	2216025	0	1	30000
3	58	Pulse	99	2246025	1	1	
3	58	Picture	cue	2246172	0	1	5000
3	58	Picture	probe	2251218	0	1	20000
3	58	Response	3	2258407	7189	1	
3	59	Picture	iti	2289921	0	1	30000
3	60	Pulse	99	2319921	1	1	
3	60	Picture	cue	2320028	0	1	5000
3	60	Picture	probe	2325102	0	1	20000
3	60	Response	5	2336952	11850	1	
3	61	Picture	iti	2372379	0	1	30000
3	62	Pulse	99	2402379	1	1	
3	62	Picture	cue	2402485	0	1	5000
3	62	Picture	probe	2407559	0	1	20000
3	62	Response	4	2413145	5586	1	
3	63	Picture	iti	2439884	0	1	30000
3	64	Pulse	99	2469884	1	1	
3	64	Picture	cue	2470043	0	1	5000
3	64	Picture	probe	2475173	0	1	20000
3	64	Response	4	2486354	11181	1	
3	65	Picture	iti	2507613	0	1	30000
3	66	Picture	cue	2537805	0	1	5000
3	66	Picture	probe	2542974	0	1	20000
3	66	Response	4	2554170	11196	1	
3	67	Picture	iti	2576600	0	1	30000
3	68	Picture	cue	2606673	0	1	5000
3	68	Picture	probe	2611703	0	1	20000
3	68	Response	3	2620188	8485	1	
3	69	Picture	iti	2641539	0	1	30000
3	70	Picture	cue	2671716	0	1	5000
3	70	Picture	probe	2676847	0	1	20000
3	70	Response	7	2688920	12073	1	
3	71	Picture	iti	2710737	0	1	30000
3	72	Pulse	99	2740737	1	1	
3	72	Picture	cue	2740927	0	1	5000
3	72	Picture	probe	2745957	0	1	20000
3	72	Response	5	2752621	6664	1	
3	73	Picture	iti	2780654	0	1	30000
3	74	Picture	cue	2810788	0	1	5000
3	74	Picture	probe	2815925	0	1	20000
3	74	Response	5	2827223	11298	1	
3	75	Picture	iti	2851532	0	1	30000
3	76	Pulse	99	2881532	1	1	
3	76	Picture	cue	2881670	0	1	5000
3	76	Picture	probe	2886792	0	1	20000
3	76	Response	3	2894866	8074	1	
3	77	Picture	iti	2926595	0	1	30000
3	78	Pulse	99	2956595	1	1	
3	78	Picture	cue	2956626	0	1	5000
3	78	Picture	probe	2961762	0	1	20000
3	78	Response	5	2971737	9975	1	
3	79	Picture	iti	2996147	0	1	30000
3	80	Picture	cue	3026148	0	1	5000
3	80	Picture	probe	3031272	0	1	20000
3	80	Response	6	3041179	9907	1	
3	81	Picture	iti	3063015	0	1	30000
3	82	Picture	cue	3093078	0	1	5000
3	82	Picture	probe	3098146	0	1	20000
3	82	Response	5	3106568	8422	1	
3	83	Picture	iti	3126827	0	1	30000
3	84	Picture	cue	3157025	0	1	5000
3	84	Picture	probe	3162057	0	1	20000
3	85	Picture	iti	3203689	0	1	30000
3	86	Pulse	99	3233689	1	1	
3	86	Picture	cue	3233697	0	1	5000
3	86	Picture	probe	3238879	0	1	20000
3	86	Response	7	3247807	8928	1	
3	87	Picture	iti	3284063	0	1	30000
3	88	Pulse	99	3314063	1	1	
3	88	Picture	cue	3314143	0	1	5000
3	88	Picture	probe	3319161	0	1	20000
3	88	Response	5	3326717	7556	1	
3	89	Picture	iti	3355598	0	1	30000
3	90	Pulse	99	3385598	1	1	
3	90	Picture	cue	3385682	0	1	5000
3	90	Picture	probe	3390791	0	1	20000
3	90	Response	7	3397883	7092	1	
3	91	Picture	iti	3418197	0	1	30000
3	92	Picture	cue	3448294	0	1	5000
3	92	Picture	probe	3453314	0	1	20000
3	92	Response	7	3464242	10928	1	
3	93	Picture	iti	3496902	0	1	30000
3	94	Picture	cue	3526913	0	1	5000
3	94	Picture	probe	3532072	0	1	20000
3	94	Response	3	3541606	9534	1	
3	95	Picture	iti	3574009	0	1	30000
3	96	Picture	cue	3604203	0	1	5000
3	96	Picture	probe	3609382	0	1	20000
3	96	Response	3	3620165	10783	1	
3	97	Picture	iti	3648395	0	1	30000
3	98	Pulse	99	3678395	1	1	
3	98	Picture	cue	3678464	0	1	5000
3	98	Picture	probe	3683641	0	1	20000
3	98	Response	6	3692065	8424	1	
3	99	Picture	iti	3719619	0	1	30000
3	100	Pulse	99	3749619	1	1	
3	100	Picture	cue	3749626	0	1	5000
3	100	Picture	probe	3754709	0	1	20000
3	100	Response	5	3766260	11551	1	
3	101	Picture	iti	3790439	0	1	30000
3	102	Pulse	99	3820439	1	1	
3	102	Picture	cue	3820470	0	1	5000
3	102	Picture	probe	3825657	0	1	20000
3	102	Response	7	3832751	7094	1	
3	103	Picture	iti	3865285	0	1	30000
3	104	Picture	cue	3895472	0	1	5000
3	104	Picture	probe	3900553	0	1	20000
3	104	Response	3	3911464	10911	1	
3	105	Picture	iti	3947181	0	1	30000
3	106	Pulse	99	3977181	1	1	
3	106	Picture	cue	3977379	0	1	5000
3	106	Picture	probe	3982478	0	1	20000
3	107	Picture	iti	4025486	0	1	30000
3	108	Pulse	99	4055486	1	1	
3	108	Picture	cue	4055654	0	1	5000
3	108	Picture	probe	4060750	0	1	20000
3	108	Response	3	4071196	10446	1	
3	109	Picture	iti	4102585	0	1	30000
3	110	Picture	cue	4132616	0	1	5000
3	110	Picture	probe	4137622	0	1	20000
3	110	Response	5	4145040	7418	1	
3	111	Picture	iti	4184215	0	1	30000
3	112	Pulse	99	4214215	1	1	
3	112	Picture	cue	4214237	0	1	5000
3	112	Picture	probe	4219246	0	1	20000
3	112	Response	7	4225210	5964	1	
3	113	Picture	iti	4262165	0	1	30000
3	114	Pulse	99	4292165	1	1	
3	114	Picture	cue	4292226	0	1	5000
3	114	Picture	probe	4297253	0	1	20000
3	114	Response	7	4308103	10850	1	
3	115	Picture	iti	4338927	0	1	30000
3	116	Picture	cue	4368973	0	1	5000
3	116	Picture	probe	4373992	0	1	20000
3	116	Response	4	4384334	10342	1	
3	117	Picture	iti	4412724	0	1	30000
3	118	Pulse	99	4442724	1	1	
3	118	Picture	cue	4442903	0	1	5000
3	118	Picture	probe	4448095	0	1	20000
3	118	Response	5	4457051	8956	1	
3	119	Picture	iti	4495490	0	1	30000
3	120	Pulse	99	4525490	1	1	
3	120	Picture	cue	4525511	0	1	5000
3	120	Picture	probe	4530607	0	1	20000
3	120	Response	6	4542041	11434	1	
